"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"743","re1.40c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за сахар? ","How many rubles your family paid in the last 7 days for sugar?","3.000e+01 | 6.000e+01 | 1.500e+02 | 3.500e+01 | 3.200e+01 | 4.000e+01",3005,5144
"744","re1.41a","Ваша семья покупала за последние 7 дней конфеты шоколад? ","Your family bought in the last 7 days of candy chocolate?","Да | Нет | НЕТ ОТВЕТА",8149,0
"745","re1.41b","Сколько килограмм конфет шоколада Ваша семья купила в течение последних 7 дней? ","How many pounds of candy chocolate Your family bought in the last 7 days?","5.00e-01 | 1.00e+00 | 3.00e-01 | 2.00e-01 | 1.00e-01 | 2.00e+00",4271,3878
"746","re1.41c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за конфеты шоколад? ","How many rubles your family paid in the last 7 days for candy chocolate?","1.000e+02 | 2.000e+02 | 1.500e+02 | 6.000e+01 | 1.200e+02 | 3.000e+02",4271,3878
"747","re1.42a","Ваша семья покупала за последние 7 дней варенье джем? ","Your family bought in the last 7 days jam jam?","Нет | Да | НЕТ ОТВЕТА",8149,0
"748","re1.42b","Сколько килограмм варенья джема Ваша семья купила в течение последних 7 дней? ","How many pounds of jam jam your family bought in the last 7 days?","3.0e-01 | 5.0e-01 | 1.0e+00 | 2.0e-01 | 4.0e-01 | 1.0e+08",96,8053
"749","re1.42c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за варенье джем? ","How many rubles your family paid in the last 7 days for jam marmalade?","1.00e+08 | 4.00e+01 | 6.00e+01 | 1.00e+02 | 5.00e+01 | 8.00e+01",96,8053
"750","re1.43a","Ваша семья покупала за последние 7 дней мед? ","Your family bought in the last 7 days honey?","Нет | Да | НЕТ ОТВЕТА",8149,0
"751","re1.43b","Сколько литров меда Ваша семья купила в течение последних 7 дней? ","How many liters of honey Your family bought in the last 7 days?","1.00e+00 | 3.00e+00 | 5.00e-01 | 2.00e-01 | 3.00e-01 | 2.00e+00",446,7703
"752","re1.43c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за мед? ","How many rubles your family paid in the last 7 days for honey?","     500 |      300 |     1000 |     1200 |      150 |      250",446,7703
"753","re1.44a","Ваша семья покупала за последние 7 дней печенье пирожные торты вафли пряники сдобные булочки? ","Your family bought in the last 7 days biscuits pastries cakes waffles cakes muffins?","Да | Нет | НЕТ ОТВЕТА",8149,0
"754","re1.44b","Сколько килограмм печенья пирожных тортов вафель пряников сдобных булочек Ваша семья купила в течение последних 7 дней? ","How many pounds of cookies cakes pies waffles cakes muffins your family bought in the last 7 days?","1.00e+00 | 5.00e-01 | 2.00e+00 | 3.00e-01 | 1.50e+00 | 4.00e-01",5229,2920
"755","re1.44c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за печенье пирожные торты вафли пряники сдобные булочки? ","How many rubles your family paid in the last 7 days for cookies pastries cakes waffles cakes muffins?","1.000e+02 | 2.000e+02 | 6.000e+01 | 1.200e+02 | 1.500e+02 | 1.000e+08",5229,2920
"756","re1.45a","Ваша семья покупала за последние 7 дней яйца? ","Your family bought in the last 7 days the egg?","Да | Нет | НЕТ ОТВЕТА",8149,0
"757","re1.45b","Сколько штук яиц Ваша семья купила в течение последних 7 дней? ","How many eggs your family bought in the last 7 days?","1.0e+01 | 2.0e+01 | 3.0e+01 | 4.0e+01 | 6.0e+01 | 1.5e+01",4745,3404
"758","re1.45c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за яйца? ","How many rubles your family paid in the last 7 days for eggs?","5.000e+01 | 1.200e+02 | 6.000e+01 | 1.000e+02 | 1.500e+02 | 5.500e+01",4745,3404
"759","re1.46a","Ваша семья покупала за последние 7 дней рыбу свежую мороженую соленую сушеную рыбные полуфабрикаты? ","Your family bought in the last 7 days the fish fresh frozen salted dried semi-finished fish?","Нет | Да | НЕТ ОТВЕТА",8149,0
"760","re1.46b","Сколько килограмм рыбы свежей мороженой соленой сушеной рыбных полуфабрикатов Ваша семья купила в течение последних 7 дней? ","How many pounds of fish fresh frozen salted dried semi-finished fish your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 1.50e+00 | 5.00e-01 | 3.00e+00 | 3.00e-01",3542,4607
"761","re1.46c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рыбу свежую мороженую соленую сушеную рыбные полуфабрикаты? ","How many rubles your family paid in the last 7 days for fish fresh frozen salted dried semi-finished fish?","1.500e+02 | 2.000e+02 | 1.200e+02 | 1.000e+02 | 1.800e+02 | 3.000e+02",3542,4607
"762","re1.47a","Ваша семья покупала за последние 7 дней рыбные консервы? ","Your family bought in the last 7 days of canned fish?","Нет | Да | НЕТ ОТВЕТА",8149,0
"763","re1.47b","Сколько килограмм рыбных консервов Ваша семья купила в течение последних 7 дней? ","How many pounds of canned fish your family bought in the last 7 days?","5.00e-01 | 2.50e-01 | 2.00e-01 | 4.00e-01 | 3.00e-01 | 1.00e+00",952,7197
"764","re1.47c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за рыбные консервы? ","How many rubles your family paid in the last 7 days for canned fish?","5.000e+01 | 6.000e+01 | 3.500e+01 | 8.000e+01 | 1.000e+02 | 4.000e+01",952,7197
"765","re1.48a","Ваша семья покупала за последние 7 дней чай? ","Your family bought in the last 7 days of tea?","Нет | Да | НЕТ ОТВЕТА",8149,0
"766","re1.48b","Сколько килограмм чая Ваша семья купила в течение последних 7 дней? ","How many pounds of tea Your family bought in the last 7 days?","1.00e-01 | 2.00e-01 | 5.00e-02 | 2.50e-01 | 5.00e-01 | 1.00e+08",3057,5092
"767","re1.48c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за чай? ","How many rubles your family paid in the last 7 days for tea?","5.000e+01 | 1.000e+02 | 6.000e+01 | 4.000e+01 | 3.000e+01 | 7.000e+01",3057,5092
"768","re1.49a","Ваша семья покупала за последние 7 дней кофе кофейные напитки какао? ","Your family bought in the last 7 days coffee coffee drinks cocoa?","Нет | Да | НЕТ ОТВЕТА",8149,0
"769","re1.49b","Сколько килограмм кофе кофейных напитков какао Ваша семья купила в течение последних 7 дней? ","How many pounds of coffee coffee drinks cocoa Your family bought in the last 7 days?","1.00e-01 | 2.00e-01 | 2.50e-01 | 5.00e-01 | 1.50e-01 | 5.00e-02",2236,5913
"770","re1.49c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за кофе кофейные напитки какао? ","How many rubles your family paid in the last 7 days for coffee coffee drinks cocoa?","1.2000e+02 | 1.5000e+02 | 2.0000e+02 | 1.0000e+02 | 1.8000e+02 | 1.4000e+02",2236,5913
"771","re1.4a","Ваша семья покупала за последние 7 дней муку? ","Your family bought in the last 7 days of the flour?","Нет | Да | НЕТ ОТВЕТА",8149,0
"772","re1.4b","Сколько килограмм муки Ваша семья купила в течение последних 7 дней? ","How many pounds of flour your family bought in the last 7 days?","2.0e+00 | 1.0e+00 | 4.0e+00 | 5.0e+00 | 1.0e+01 | 3.0e+00",2043,6106
"773","re1.4c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за муку? ","How many rubles your family paid in the last 7 days for a meal?","5.000e+01 | 6.000e+01 | 5.600e+01 | 1.000e+08 | 4.000e+01 | 5.200e+01",2043,6106
"774","re15","Сколько рублей Ваша семья отдала в долг в течение последних 30 дней? ","How many rubles Your family has given a loan in the last 30 days?","    2000 |     1000 |     5000 |     3000 |      500 |    10000",533,7616
"775","re1.50a","Ваша семья покупала за последние 7 дней безалкогольные напитки соки? ","Your family bought in the last 7 days soft drinks juices?","Нет | Да | НЕТ ОТВЕТА",8149,0
"776","re1.50b","Сколько литров безалкогольных напитков соков Ваша семья купила в течение последних 7 дней? ","How many liters of soft drinks juices your family bought in the last 7 days?","2.000e+00 | 1.000e+00 | 3.000e+00 | 1.500e+00 | 4.000e+00 | 5.000e+00",2371,5778
"777","re1.50c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за безалкогольные напитки соки? ","How many rubles your family paid in the last 7 days for soft drinks juices?","1.000e+02 | 1.200e+02 | 6.000e+01 | 5.000e+01 | 8.000e+01 | 7.000e+01",2371,5778
"778","re1.51a","Ваша семья покупала за последние 7 дней соль другие специи различные соусы? ","Your family bought in the last 7 days of salt other spices various sauces?","Нет | Да | НЕТ ОТВЕТА",8149,0
"779","re1.51b","Сколько килограмм соли других специй различных соусов Ваша семья купила в течение последних 7 дней? ","How many pounds of salt other spices various sauces Your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 5.00e-01 | 2.00e-01 | 4.00e-01 | 2.50e-01",1535,6614
"780","re1.51c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за соль другие специи различные соусы? ","How many rubles your family paid in the last 7 days for salt and other spices various sauces?","1.000e+01 | 2.000e+01 | 1.200e+01 | 5.000e+01 | 1.100e+01 | 1.000e+08",1535,6614
"781","re1.52a","Ваша семья покупала за последние 7 дней грибы? ","Your family bought in the last 7 days of the mushrooms?","Нет | Да | НЕТ ОТВЕТА",8149,0
"782","re1.52b","Сколько килограмм грибов Ваша семья купила в течение последних 7 дней? ","How many pounds of mushrooms Your family bought in the last 7 days?","1.0e+00 | 5.0e-01 | 2.0e+00 | 4.0e-01 | 3.0e-01 | 1.0e+08",212,7937
"783","re1.52c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за грибы? ","How many rubles your family paid in the last 7 days for mushrooms?","1.500e+02 | 1.000e+02 | 1.200e+02 | 6.000e+01 | 8.000e+01 | 2.000e+02",212,7937
"784","re1.53a","Ваша семья покупала за последние 7 дней водку? ","Your family bought in the last 7 days of vodka?","Нет | Да | НЕТ ОТВЕТА",8149,0
"785","re1.53b","Сколько литров водки Ваша семья купила в течение последних 7 дней? ","How many liters of vodka Your family bought in the last 7 days?","5.00e-01 | 1.00e+00 | 2.00e+00 | 1.50e+00 | 7.00e-01 | 2.50e-01",851,7298
"786","re1.53c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за водку? ","How many rubles your family paid in the last 7 days for vodka?","2.000e+02 | 1.700e+02 | 4.000e+02 | 2.500e+02 | 3.000e+02 | 1.800e+02",851,7298
"787","re1.54a","Ваша семья покупала за последние 7 дней вина другие ликероводочные изделия? ","Your family bought in the last 7 days of wine and other alcoholic beverages?","Нет | Да | НЕТ ОТВЕТА",8149,0
"788","re1.54b","Сколько литров вина других ликероводочных изделий Ваша семья купила в течение последних 7 дней? ","How many liters of wine and other alcoholic beverages Your family bought in the last 7 days?","7.00e-01 | 1.00e+00 | 5.00e-01 | 1.50e+00 | 7.50e-01 | 2.00e+00",587,7562
"789","re1.54c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за вина другие ликероводочные изделия? ","How many rubles your family paid in the last 7 days for wine and other alcoholic beverages?","3.000e+02 | 2.000e+02 | 1.000e+08 | 6.000e+02 | 4.000e+02 | 2.500e+02",587,7562
"790","re1.55a","Ваша семья покупала за последние 7 дней пиво? ","Your family bought in the last 7 days of beer?","Нет | Да | НЕТ ОТВЕТА",8149,0
"791","re1.55b","Сколько литров пива Ваша семья купила в течение последних 7 дней? ","How many liters of beer Your family bought in the last 7 days?","1.00e+00 | 1.50e+00 | 2.00e+00 | 3.00e+00 | 5.00e-01 | 5.00e+00",1480,6669
"792","re1.55c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за пиво? ","How many rubles your family paid in the last 7 days for a beer?","1.000e+02 | 2.000e+02 | 1.000e+08 | 1.500e+02 | 1.200e+02 | 8.000e+01",1480,6669
"793","re1.56a","Ваша семья покупала за последние 7 дней табачные изделия? ","Your family bought in the last 7 days of tobacco products?","Нет | Да | НЕТ ОТВЕТА",8149,0
"794","re1.56b","Сколько пачек табачных изделий Ваша семья купила в течение последних 7 дней? ","How many packs of tobacco products your family bought in the last 7 days?","1.0e+01 | 7.0e+00 | 5.0e+00 | 3.0e+00 | 2.0e+00 | 4.0e+00",3301,4848
"795","re1.56c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за табачные изделия? ","How many rubles your family paid in the last 7 days for tobacco products?","3.500e+02 | 4.000e+02 | 2.800e+02 | 3.000e+02 | 1.000e+08 | 2.000e+02",3301,4848
"796","re1.57a","Ваша семья покупала за последние 7 дней жевательные резинки пастилки? ","Your family bought in the last 7 days of chewing gum lozenges?","Нет | Да | НЕТ ОТВЕТА",8149,0
"797","re1.57b","Сколько штук жевательных резинок пастилок купила Ваша семья за последние 7 дней? ","How many pieces of chewing gum lozenges bought your family for the past 7 days?","1.0e+00 | 2.0e+00 | 1.0e+01 | 3.0e+00 | 2.0e+01 | 1.0e+08",934,7215
"798","re1.57c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за жевательные резинки пастилки? ","How many rubles your family paid in the last 7 days for chewing gum lozenges?","2.00e+01 | 4.00e+01 | 1.80e+01 | 1.00e+08 | 5.00e+01 | 3.60e+01",934,7215
"799","re1.58a","Ваша семья покупала за последние 7 дней другие морепродукты? ","Your family bought in the last 7 days other seafood?","Нет | Да | НЕТ ОТВЕТА",8149,0
"800","re1.58b","Сколько килограмм морепродуктов купила Ваша семья за последние7 дней? ","How many pounds of seafood bought your family for poslednie7 days?","1.0e+00 | 5.0e-01 | 2.0e-01 | 3.0e-01 | 2.0e+00 | 1.0e+08",344,7805
"801","re1.58c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за морепродукты? ","How many rubles your family paid in the last 7 days for seafood?","1.00e+02 | 3.00e+02 | 1.00e+08 | 2.00e+02 | 1.50e+02 | 8.00e+01",344,7805
"802","re1.59a","Ваша семья покупала за последние 7 дней полуфабрикаты не считая мясных и рыбных? ","Your family bought in the last 7 days of semi-finished products not including meat and fish?","Нет | Да | НЕТ ОТВЕТА",8149,0
"803","re1.59b","Сколько килограмм полуфабрикатов не считая мясных и рыбных купила Ваша семья за последние7 дней? ","How many kilograms of semi-finished products not including meat and fish bought for your family poslednie7 days?","1.0e+00 | 5.0e-01 | 2.0e+00 | 4.0e-01 | 1.0e+08 | 8.0e-01",921,7228
"804","re1.59c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за полуфабрикаты не считая мясные и рыбные? ","How many rubles your family paid in the last 7 days for the finished products not including meat and fish?","1.000e+02 | 2.000e+02 | 6.000e+01 | 7.000e+01 | 1.000e+08 | 8.000e+01",921,7228
"805","re1.5a","Ваша семья покупала за последние 7 дней макаронные изделия? ","Your family bought in the last 7 days of pasta?","Нет | Да | НЕТ ОТВЕТА",8149,0
"806","re1.5b","Сколько килограмм макаронных изделий Ваша семья купила в течение последних 7 дней? ","How many pounds of pasta your family bought in the last 7 days?","1.00e+00 | 2.00e+00 | 5.00e-01 | 4.00e-01 | 3.00e+00 | 8.00e-01",4058,4091
"807","re1.5c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за макаронные изделия? ","How many rubles your family paid in the last 7 days for pasta?","3.000e+01 | 6.000e+01 | 5.000e+01 | 3.500e+01 | 2.800e+01 | 4.000e+01",4058,4091
"808","re16","Ваша семья в течение последних 30 дней откладывала сбережения? ","Your family in the last 30 days postponed savings?","Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА",8149,0
"809","re1.60a","Ваша семья покупала за последние 7 дней готовую кулинарию? ","Your family bought in the last 7 days finished cooking?","Нет | Да | НЕТ ОТВЕТА",8149,0
"810","re1.60c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за готовую кулинарию? ","How many rubles your family paid in the last 7 days for the finished cooking?","2.000e+02 | 3.000e+02 | 1.000e+08 | 1.000e+02 | 1.500e+02 | 1.200e+02",670,7479
"811","re1.6a","Ваша семья покупала за последние 7 дней картофель? ","Your family bought in the last 7 days of potatoes?","Нет | Да | НЕТ ОТВЕТА",8149,0
"812","re1.6b","Сколько килограмм картофеля Ваша семья купила в течение последних 7 дней? ","How many pounds of potatoes your family bought in the last 7 days?","2.00e+00 | 5.00e+00 | 3.00e+00 | 1.00e+01 | 4.00e+00 | 1.00e+00",2344,5805
"813","re1.6c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за картофель? ","How many rubles your family paid in the last 7 days for potatoes?","6.000e+01 | 1.000e+02 | 1.500e+02 | 4.000e+01 | 5.000e+01 | 7.500e+01",2344,5805
"814","re17","Сколько рублей Ваша семья отложила в течение последних 30 дней? ","How many rubles your family put down in the last 30 days?","    5000 |    10000 | 99999998 |     3000 | 99999997 |     2000",1356,6793
"815","re1.7a","Ваша семья покупала за последние 7 дней овощные консервы без солений? ","Your family bought in the last 7 days of canned vegetables without pickles?","Нет | Да | НЕТ ОТВЕТА",8149,0
"816","re1.7b","Сколько килограмм овощных консервов без солений Ваша семья купила в течение последних 7 дней? ","How many pounds of canned vegetables without pickles your family bought in the last 7 days?","4.00e-01 | 5.00e-01 | 8.00e-01 | 1.00e+00 | 3.00e-01 | 1.00e+08",386,7763
"817","re1.7c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за овощные консервы без солений? ","How many rubles your family paid in the last 7 days for canned vegetables without pickles?","6.000e+01 | 1.000e+02 | 1.000e+08 | 5.000e+01 | 4.000e+01 | 8.000e+01",386,7763
"818","re1.8a","Ваша семья покупала за последние 7 дней капусту включая квашеную? ","Your family bought in the last 7 days cabbage including sauerkraut?","Нет | Да | НЕТ ОТВЕТА",8149,0
"819","re1.8b","Сколько килограмм капусты включая квашеную Ваша семья купила в течение последних 7 дней? ","How many pounds of cabbage including sauerkraut your family bought in the last 7 days?","2.00e+00 | 1.00e+00 | 3.00e+00 | 1.50e+00 | 5.00e-01 | 2.50e+00",1981,6168
"820","re1.8c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за капусту включая квашеную? ","How many rubles your family paid in the last 7 days for cabbage including sauerkraut?","3.000e+01 | 4.000e+01 | 2.000e+01 | 5.000e+01 | 6.000e+01 | 2.500e+01",1981,6168
"821","re1.9a","Ваша семья покупала за последние 7 дней огурцы включая соленые? ","Your family bought in the last 7 days cucumbers including salty?","Нет | Да | НЕТ ОТВЕТА",8149,0
"822","re1.9b","Сколько килограмм огурцов включая соленые Ваша семья купила в течение последних 7 дней? ","How many kilograms of cucumbers including salted your family bought in the last 7 days?","1.00e+00 | 5.00e-01 | 2.00e+00 | 3.00e-01 | 4.00e-01 | 1.50e+00",1604,6545
"823","re1.9c","Сколько всего рублей Ваша семья заплатила в течение последних 7 дней за огурцы включая соленые? ","How many rubles your family paid in the last 7 days for cucumbers including salty?","6.000e+01 | 1.000e+02 | 5.000e+01 | 4.000e+01 | 8.000e+01 | 1.200e+02",1604,6545
"824","re2","В течение последних 7 дней Вы или другие члены Вашей семьи питались вне дома? ","In the last 7 days of you or other members of your family to eat out?","Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА",8149,0
"825","re20.1a","Ваша семья помогает деньгами или товарами родителям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Your family makes money or goods to your parents or spouse (s) that are not members of your household?","Нет | Да | НЕТ ОТВЕТА",8149,0
"826","re20.1b","Как регулярно Ваша семья помогает деньгами или товарами родителям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","How regularly helps your family money or goods to your parents or spouse (s) that are not members of your household?","Каждый месяц | Несколько раз в год | Когда попросят | Раз в год | НЕТ ОТВЕТА",782,7367
"827","re20.1c","В последние 30 дней Ваша семья помогала деньгами или товарами родителям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","In the last 30 days of your family helped with money or goods to your parents or spouse (s) that are not members of your household?","Да | Нет | НЕТ ОТВЕТА",782,7367
"828","re20.1d","В течение последних 30 дней сколько составляла в рублях помощь родителям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Over the past 30 days how many was in rubles help your parents or spouse (s) that are not members of your household?","    1000 |     2000 |     5000 |     3000 | 99999997 |      500",529,7620
"829","re20.2a","Ваша семья помогает деньгами или товарами детям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Your family makes money or goods to your children or spouse (s) that are not members of your household?","Нет | Да | НЕТ ОТВЕТА",8149,0
"830","re20.2b","Как регулярно Ваша семья помогает деньгами или товарами детям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","How regularly helps your family money or goods to your children or spouse (s) that are not members of your household?","Каждый месяц | Несколько раз в год | Когда попросят | Раз в год | НЕТ ОТВЕТА",1811,6338
"831","re20.2c","В последние 30 дней Ваша семья помогала деньгами или товарами детям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","In the last 30 days of your family helped with money or goods to your children or spouse (s) that are not members of your household?","Да | Нет | НЕТ ОТВЕТА",1811,6338
"832","re20.2d","В течение последних 30 дней сколько составляла в рублях помощь детям Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Over the past 30 days how many was in rubles help your children or spouse (s) that are not members of your household?","    5000 |     2000 |     3000 |     1000 |    10000 | 99999997",1250,6899
"833","re20.3a","Ваша семья помогает деньгами или товарами бабушкам и дедушкам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Your family makes money or goods grandparents or your spouse (s) that are not members of your household?","Нет | Да | НЕТ ОТВЕТА",8149,0
"834","re20.3b","Как регулярно Ваша семья помогает деньгами или товарами бабушкам и дедушкам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","How regularly helps your family money or goods grandparents or your spouse (s) that are not members of your household?","Несколько раз в год | Каждый месяц | Когда попросят | НЕТ ОТВЕТА | Раз в год",108,8041
"835","re20.3c","В последние 30 дней Ваша семья помогала деньгами или товарами бабушкам и дедушкам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","In the last 30 days of your family helped with money or goods grandparents or your spouse (s) that are not members of your household?","Да | Нет | НЕТ ОТВЕТА",108,8041
"836","re20.3d","В течение последних 30 дней сколько составляла в рублях помощь бабушкам и дедушкам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Over the past 30 days how many was in rubles help grandparents or your spouse (s) that are not members of your household?","2.0e+03 | 3.0e+03 | 1.0e+08 | 5.0e+03 | 1.0e+03 | 5.0e+02",65,8084
"837","re20.4a","Ваша семья помогает деньгами или товарами внукам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Your family makes money or goods to your grandchildren or spouse (s) that are not members of your household?","Нет | Да | НЕТ ОТВЕТА",8149,0
"838","re20.4b","Как регулярно Ваша семья помогает деньгами или товарами внукам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","How regularly helps your family money or goods to your grandchildren or spouse (s) that are not members of your household?","Несколько раз в год | Каждый месяц | Когда попросят | Раз в год | НЕТ ОТВЕТА",1345,6804
"839","re20.4c","В последние 30 дней Ваша семья помогала деньгами или товарами внукам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","In the last 30 days of your family helped with money or goods to your grandchildren or spouse (s) that are not members of your household?","Да | Нет | НЕТ ОТВЕТА",1345,6804
"840","re20.4d","В течение последних 30 дней сколько составляла в рублях помощь внукам Вашим или супруга(и) не являющимся членами Вашего домохозяйства? ","Over the past 30 days how many was in rubles help your grandchildren or spouse (s) that are not members of your household?","    1000 |     2000 |     3000 |      500 |     5000 |     1500",892,7257
"841","re20.5a","Ваша семья помогает деньгами или товарами другим людям не являющимся членами Вашего домохозяйства? ","Your family makes money or goods to other people who are not members of your household?","Нет | Да | НЕТ ОТВЕТА",8149,0
"842","re20.5b","Как регулярно Ваша семья помогает деньгами или товарами другим людям не являющимся членами Вашего домохозяйства? ","How regularly helps your family money or goods to other people who are not members of your household?","Несколько раз в год | Когда попросят | Каждый месяц | Раз в год | НЕТ ОТВЕТА",537,7612
"843","re20.5c","В последние 30 дней Ваша семья помогала деньгами или товарами другим людям не являющимся членами Вашего домохозяйства? ","In the last 30 days of your family helped with money or goods to other people who are not members of your household?","Да | Нет | НЕТ ОТВЕТА",537,7612
"844","re20.5d","В течение последних 30 дней сколько составляла в рублях помощь другим людям не являющимся членами Вашего домохозяйства? ","Over the past 30 days how many was in rubles helping other people who are not members of your household?","99999997 |     1000 |     2000 |      500 |      300 |     3000",300,7849
"845","re3","Вспомните сколько примерно денег все члены Вашей семьи израсходовали на питание вне дома в течение последних 7 дней? ","Think of how much money about all your family members have spent on food away from home for the past 7 days?","99999997 |        0 |     1000 |      500 |      300 |     2000",3698,4451
"846","re4","Вспомните сколько примерно денег все члены Вашей семьи израсходовали на питание дома и вне дома в течение последних 30 дней? ","Think of how much money about all your family members have spent on food at home and away from home for the past 30 days?","   10000 |     5000 |    15000 |     6000 |     8000 | 99999997",8149,0
"847","re5","Покупали Вы или другие члены Вашей семьи в течение последних 3-х месяцев что-либо из одежды или обуви для членов домохозяйства? ","Bought you or other members of your family over the last 3 months of any of the clothes or shoes for the household?","Да | Нет | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА",8149,0
"848","re6.1","Сколько Вы и другие члены домохозяйства потратили на приобретение одежды и обуви для взрослых то есть для членов домохозяйства 18-ти лет и старше в течение последних 3 месяцев? ","How much do you and other members of the household spent on the purchase of clothing and shoes for adults ie for household members 18 years and older in the last 3 months?","    5000 |    10000 |     3000 |        0 |     2000 |     4000",5735,2414
"849","re6.2","Сколько Вы и другие члены домохозяйства потратили на приобретение одежды и обуви для детей то есть для членов домохозяйства младше 18-ти лет в течение последних 3 месяцев? ","How much do you and other members of the household spent on the purchase of clothing and shoes for children that is for household members under the age of 18 years during the last 3 months?","99999996 |     5000 |     3000 |    10000 |     2000 |    15000",5735,2414
"850","re7.10a","Ваша семья покупала в течение последних 3-х месяцев спортинвентарь: велосипед самокат коньки? ","Your family bought over the last 3 months of sports equipment bicycles scooters skates?","Нет | Да | НЕТ ОТВЕТА",8149,0
"851","re7.1.0a","Ваша семья покупала в течение последних 3-х месяцев культтовары: телевизор магнитофон видео музыкальные инструменты компьютер фотоаппарат и тому подобное? ","Your family bought over the last 3 months of recreational goods television tape recorder video musical instruments computers cameras and the like?","Нет | Да | НЕТ ОТВЕТА",8149,0
"852","re7.10b","Сколько всего рублей Ваша семья заплатила за спортинвентарь: велосипед самокат коньки? ","How many rubles your family paid for sports equipment bicycles scooters skates?","    3000 |     1000 |     5000 |     1500 |     6000 |     8000",163,7986
"853","re7.1.0b","Сколько всего рублей Ваша семья заплатила за культтовары: телевизор магнитофон видео музыкальные инструменты компьютер фотоаппарат и тому подобное? ","How many rubles your family paid for recreational goods television tape recorder video musical instruments computers cameras and the like?","   20000 |    10000 |    25000 |    15000 |     5000 |    18000",669,7480
"854","re7.11","В течение последних 12 месяцев Ваша семья покупала товары длительного пользования - телевизор мобильный телефон холодильник мебель и тому подобное? ","In the last 12 months your family to buy durable goods - TV cell phone refrigerator furniture and the like?","Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА",3785,4364
"855","re7.1.1a","Ваша семья покупала в течение последних 3-х месяцев мобильный телефон? ","Your family bought over the last 3 months mobile phone?","Нет | Да | НЕТ ОТВЕТА",8149,0
"856","re7.1.1b","Сколько всего рублей Ваша семья заплатила за мобильный телефон? ","How many rubles your family paid for a mobile phone?","    2000 |     4000 |     5000 |     3000 |     7000 |    10000",725,7424
"857","re7.12.1","Ваша семья покупала товары длительного пользования на рынках? ","Your family to buy durable goods in the markets?","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
"858","re7.12.2","Ваша семья покупала товары длительного пользования в магазинах торгующих через прилавок? ","Your family to buy durable goods in stores selling over the counter?","Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ",5015,3134
